"Date","Price","Open","High","Low","Vol.","Change Avg"
"12/01/2020","3.2107","3.3059","3.3094","3.2065","","-2.85%"
"11/01/2020","3.3048","3.4080","3.4267","3.3019","","-2.93%"
"10/01/2020","3.4045","3.4223","3.4390","3.3672","","-0.50%"
"09/01/2020","3.4215","3.3526","3.4908","3.3495","","2.09%"
"08/01/2020","3.3513","3.4028","3.4299","3.3496","","-1.53%"
"07/01/2020","3.4035","3.4641","3.4690","3.3990","","-1.70%"
"06/01/2020","3.4625","3.5087","3.5178","3.4175","","-1.27%"
"05/01/2020","3.5070","3.4860","3.5617","3.4832","","0.65%"
"04/01/2020","3.4845","3.5457","3.6623","3.4666","","-1.68%"
"03/01/2020","3.5442","3.4706","3.8875","3.4262","","2.27%"
"02/01/2020","3.4655","3.4484","3.4941","3.3987","","0.46%"
"01/01/2020","3.4496","3.4561","3.4873","3.4448","","-0.08%"
"12/01/2019","3.4524","3.4729","3.5061","3.4502","","-0.61%"
"11/01/2019","3.4735","3.5230","3.5337","3.4480","","-1.36%"
"10/01/2019","3.5213","3.4758","3.5496","3.4748","","1.37%"
"09/01/2019","3.4738","3.5308","3.5612","3.4720","","-1.56%"
"08/01/2019","3.5290","3.5123","3.5545","3.4702","","0.52%"
"07/01/2019","3.5106","3.5666","3.5870","3.4709","","-1.58%"
"06/01/2019","3.5668","3.6247","3.6415","3.5612","","-1.59%"
"05/01/2019","3.6246","3.6011","3.6373","3.5579","","0.72%"
"04/01/2019","3.5986","3.6300","3.6379","3.5548","","-0.93%"
"03/01/2019","3.6324","3.6243","3.6401","3.5767","","0.29%"
"02/01/2019","3.6220","3.6350","3.6656","3.6020","","-0.22%"
"01/01/2019","3.6300","3.7375","3.7574","3.6272","","-2.82%"
"12/01/2018","3.7355","3.7169","3.7852","3.7057","","0.56%"
"11/01/2018","3.7147","3.7184","3.7466","3.6611","","-0.07%"
"10/01/2018","3.7172","3.6377","3.7298","3.6154","","2.26%"
"09/01/2018","3.6351","3.6093","3.6426","3.5587","","0.85%"
"08/01/2018","3.6046","3.6704","3.7246","3.5953","","-1.74%"
"07/01/2018","3.6685","3.6608","3.6774","3.6125","","0.37%"
"06/01/2018","3.6549","3.5620","3.6631","3.5453","","2.71%"
"05/01/2018","3.5585","3.5965","3.6344","3.5434","","-1.02%"
"04/01/2018","3.5952","3.4956","3.6047","3.4952","","3.02%"
"03/01/2018","3.4899","3.4768","3.5185","3.4201","","0.43%"
"02/01/2018","3.4750","3.4189","3.5513","3.4132","","1.66%"
"01/01/2018","3.4183","3.4703","3.4770","3.3787","","-1.71%"
"12/01/2017","3.4777","3.4958","3.5524","3.4566","","-0.46%"
"11/01/2017","3.4939","3.5206","3.5538","3.4886","","-0.72%"
"10/01/2017","3.5191","3.5331","3.5532","3.4787","","-0.39%"
"09/01/2017","3.5329","3.5813","3.5862","3.4834","","-1.38%"
"08/01/2017","3.5823","3.5587","3.6389","3.5505","","0.61%"
"07/01/2017","3.5606","3.4895","3.5980","3.4846","","2.23%"
"06/01/2017","3.4830","3.5376","3.5663","3.4826","","-1.48%"
"05/01/2017","3.5354","3.6189","3.6267","3.5305","","-2.38%"
"04/01/2017","3.6215","3.6302","3.6873","3.6117","","-0.17%"
"03/01/2017","3.6278","3.6443","3.7098","3.6026","","-0.43%"
"02/01/2017","3.6435","3.7689","3.7859","3.6351","","-3.21%"
"01/01/2017","3.7645","3.8555","3.8809","3.7618","","-2.23%"
"12/01/2016","3.8505","3.8324","3.8849","3.7778","","0.57%"
"11/01/2016","3.8288","3.8370","3.8885","3.7748","","-0.05%"
"10/01/2016","3.8306","3.7600","3.8679","3.7457","","2.28%"
"09/01/2016","3.7453","3.7755","3.7938","3.7365","","-0.72%"
"08/01/2016","3.7726","3.8152","3.8471","3.7434","","-0.94%"
"07/01/2016","3.8085","3.8567","3.9056","3.8050","","-1.11%"
"06/01/2016","3.8514","3.8530","3.9159","3.8049","","0.07%"
"05/01/2016","3.8487","3.7370","3.8921","3.7299","","3.19%"
"04/01/2016","3.7299","3.7560","3.8250","3.7287","","-0.49%"
"03/01/2016","3.7484","3.9042","3.9223","3.7491","","-3.95%"
"02/01/2016","3.9026","3.9615","3.9745","3.8600","","-1.45%"
"01/01/2016","3.9599","3.8946","3.9909","3.8850","","1.86%"
"12/01/2015","3.8876","3.8745","3.9188","3.8051","","0.46%"
"11/01/2015","3.8699","3.8625","3.9308","3.8532","","0.28%"
"10/01/2015","3.8590","3.9236","3.9406","3.7991","","-1.56%"
"09/01/2015","3.9200","3.9255","3.9662","3.8538","","-0.01%"
"08/01/2015","3.9204","3.7761","3.9501","3.7581","","3.97%"
"07/01/2015","3.7706","3.7717","3.8398","3.7511","","0.15%"
"06/01/2015","3.7650","3.8710","3.8847","3.7434","","-2.51%"
"05/01/2015","3.8620","3.8645","3.9063","3.8019","","0.10%"
"04/01/2015","3.8581","3.9777","4.0235","3.8435","","-2.96%"
"03/01/2015","3.9757","3.9870","4.0703","3.9096","","-0.16%"
"02/01/2015","3.9820","3.9380","3.9989","3.8270","","1.41%"
"01/01/2015","3.9265","3.8965","4.0191","3.8814","","0.94%"
"12/01/2014","3.8900","3.8921","4.0013","3.8793","","0.09%"
"11/01/2014","3.8866","3.7921","3.9016","3.7692","","2.52%"
"10/01/2014","3.7910","3.6820","3.8101","3.6369","","3.09%"
"09/01/2014","3.6773","3.5790","3.6993","3.5649","","2.90%"
"08/01/2014","3.5736","3.4286","3.5899","3.3990","","4.35%"
"07/01/2014","3.4246","3.4318","3.4490","3.3986","","-0.06%"
"06/01/2014","3.4267","3.4710","3.4869","3.4192","","-1.23%"
"05/01/2014","3.4693","3.4611","3.4999","3.4376","","0.38%"
"04/01/2014","3.4562","3.4839","3.4966","3.4531","","-0.65%"
"03/01/2014","3.4789","3.4930","3.5141","3.4502","","-0.13%"
"02/01/2014","3.4834","3.5162","3.5539","3.4799","","-0.78%"
"01/01/2014","3.5109","3.4695","3.5259","3.4660","","1.28%"
"12/01/2013","3.4666","3.5201","3.5380","3.4585","","-1.48%"
"11/01/2013","3.5186","3.5260","3.5775","3.5110","","-0.07%"
"10/01/2013","3.5211","3.5250","3.5736","3.5064","","-0.04%"
"09/01/2013","3.5225","3.6280","3.6657","3.4778","","-2.95%"
"08/01/2013","3.6297","3.5653","3.6820","3.5235","","1.95%"
"07/01/2013","3.5602","3.6322","3.6719","3.5505","","-2.06%"
"06/01/2013","3.6352","3.6880","3.7026","3.5819","","-1.36%"
"05/01/2013","3.6855","3.5863","3.7222","3.5406","","2.91%"
"04/01/2013","3.5812","3.6460","3.6583","3.5733","","-1.64%"
"03/01/2013","3.6410","3.7158","3.7426","3.6189","","-1.94%"
"02/01/2013","3.7130","3.7099","3.7441","3.6521","","0.22%"
"01/01/2013","3.7048","3.7316","3.7973","3.7043","","-0.58%"
"12/01/2012","3.7266","3.8210","3.8470","3.7145","","-2.20%"
"11/01/2012","3.8103","3.8837","3.9843","3.8019","","-1.76%"
"10/01/2012","3.8786","3.9150","3.9328","3.7822","","-0.92%"
"09/01/2012","3.9148","4.0159","4.0450","3.8760","","-2.66%"
"08/01/2012","4.0216","3.9840","4.0701","3.9367","","1.07%"
"07/01/2012","3.9791","3.9040","4.1002","3.9037","","1.95%"
"06/01/2012","3.9031","3.9042","3.9666","3.8339","","0.10%"
"05/01/2012","3.8992","3.7613","3.9137","3.7558","","3.80%"
"04/01/2012","3.7563","3.7333","3.7755","3.7048","","1.39%"
"03/01/2012","3.7049","3.7781","3.8219","3.7032","","-1.95%"
"02/01/2012","3.7786","3.7393","3.8160","3.6921","","1.05%"
"01/01/2012","3.7393","3.8096","3.8674","3.7251","","-1.82%"
"12/01/2011","3.8086","3.7540","3.8307","3.7137","","1.48%"
"11/01/2011","3.7530","3.6150","3.8135","3.6020","","3.73%"
"10/01/2011","3.6180","3.7190","3.7770","3.5821","","-2.56%"
"09/01/2011","3.7130","3.5560","3.7624","3.5535","","4.39%"
"08/01/2011","3.5570","3.4205","3.6360","3.3995","","3.82%"
"07/01/2011","3.4260","3.3940","3.4937","3.3733","","0.91%"
"06/01/2011","3.3950","3.4240","3.5000","3.3500","","-0.85%"
"05/01/2011","3.4240","3.3784","3.5575","3.3645","","1.12%"
"04/01/2011","3.3860","3.4730","3.4855","3.3647","","-2.53%"
"03/01/2011","3.4740","3.6220","3.6570","3.4665","","-4.14%"
"02/01/2011","3.6240","3.7120","3.7340","3.5930","","-2.32%"
"01/01/2011","3.7100","3.5390","3.7530","3.5157","","5.26%"
"12/01/2010","3.5246","3.6759","3.6839","3.5221","","-4.22%"
"11/01/2010","3.6800","3.6282","3.7030","3.5675","","1.29%"
"10/01/2010","3.6330","3.6392","3.6730","3.5560","","-0.79%"
"09/01/2010","3.6620","3.8110","3.8200","3.6137","","-3.83%"
"08/01/2010","3.8080","3.7820","3.8507","3.7400","","0.98%"
"07/01/2010","3.7710","3.8890","3.9225","3.7580","","-2.93%"
"06/01/2010","3.8850","3.8810","3.9030","3.7840","","0.10%"
"05/01/2010","3.8810","3.7340","3.8850","3.7120","","4.10%"
"04/01/2010","3.7283","3.6915","3.7673","3.6690","","0.91%"
"03/01/2010","3.6947","3.7540","3.8170","3.6830","","-2.23%"
"02/01/2010","3.7790","3.7195","3.8055","3.6830","","1.27%"
"01/01/2010","3.7315","3.7872","3.8003","3.6522","","-1.61%"
"12/01/2009","3.7925","3.7905","3.8305","3.7530","","0.13%"
"11/01/2009","3.7875","3.7795","3.8495","3.7300","","0.88%"
"10/01/2009","3.7545","3.7695","3.7947","3.6795","","-0.36%"
"09/01/2009","3.7680","3.7940","3.8272","3.7104","","-0.69%"
"08/01/2009","3.7940","3.7710","3.9645","3.7350","","-0.03%"
"07/01/2009","3.7950","3.9370","4.0210","3.7612","","-3.61%"
"06/01/2009","3.9370","3.9160","4.0185","3.8640","","0.85%"
"05/01/2009","3.9038","4.1762","4.1887","3.8897","","-6.45%"
"04/01/2009","4.1730","4.2210","4.2785","4.0835","","-1.11%"
"03/01/2009","4.2200","4.1930","4.2690","3.9970","","1.32%"
"02/01/2009","4.1650","4.0640","4.2140","4.0040","","2.49%"
"01/01/2009","4.0640","3.7820","4.0930","3.7410","","7.48%"
"12/01/2008","3.7810","3.9790","4.0192","3.6577","","-3.89%"
"11/01/2008","3.9340","3.7040","4.0450","3.6990","","6.25%"
"10/01/2008","3.7025","3.4640","3.9050","3.4445","","6.78%"
"09/01/2008","3.4675","3.5915","3.6555","3.3740","","-3.25%"
"08/01/2008","3.5840","3.5060","3.6130","3.4471","","2.20%"
"07/01/2008","3.5070","3.3430","3.5115","3.2010","","4.91%"
"06/01/2008","3.3430","3.2221","3.4360","3.2221","","3.81%"
"05/01/2008","3.2203","3.4227","3.4898","3.2170","","-5.89%"
"04/01/2008","3.4220","3.5240","3.6521","3.4075","","-3.00%"
"03/01/2008","3.5280","3.6670","3.6700","3.3535","","-3.51%"
"02/01/2008","3.6562","3.5987","3.6696","3.5509","","1.34%"
"01/01/2008","3.6078","3.8567","3.8770","3.6012","","-6.44%"
"12/01/2007","3.8560","3.8330","4.0275","3.8218","","0.63%"
"11/01/2007","3.8320","3.9530","3.9810","3.8183","","-3.09%"
"10/01/2007","3.9540","4.0033","4.0577","3.9460","","-1.59%"
"09/01/2007","4.0180","4.1260","4.1557","4.0063","","-2.57%"
"08/01/2007","4.1240","4.3230","4.3569","4.1055","","-4.76%"
"07/01/2007","4.3300","4.2550","4.3600","4.1700","","1.81%"
"06/01/2007","4.2530","4.0650","4.2993","4.0520","","4.65%"
"05/01/2007","4.0640","4.0290","4.0795","3.9200","","0.87%"
"04/01/2007","4.0290","4.1570","4.1670","3.9954","","-3.10%"
"03/01/2007","4.1580","4.2160","4.2424","4.1475","","-1.40%"
"02/01/2007","4.2170","4.2495","4.2620","4.1716","","-0.81%"
"01/01/2007","4.2513","4.2130","4.2738","4.1725","","0.83%"
"12/01/2006","4.2164","4.2407","4.2431","4.1597","","-0.56%"
"11/01/2006","4.2400","4.2745","4.3495","4.2324","","-0.82%"
"10/01/2006","4.2750","4.3015","4.3057","4.2288","","-0.68%"
"09/01/2006","4.3042","4.3730","4.4023","4.2907","","-1.42%"
"08/01/2006","4.3660","4.3855","4.4110","4.3445","","-0.60%"
"07/01/2006","4.3923","4.4347","4.5648","4.3745","","-0.85%"
"06/01/2006","4.4300","4.5130","4.5345","4.4220","","-2.06%"
"05/01/2006","4.5230","4.4810","4.5400","4.4199","","0.94%"
"04/01/2006","4.4810","4.6684","4.6850","4.4800","","-3.95%"
"03/01/2006","4.6652","4.7019","4.7243","4.6528","","-0.80%"
"02/01/2006","4.7030","4.6670","4.7325","4.6590","","0.85%"
"01/01/2006","4.6633","4.6037","4.6750","4.5657","","1.24%"
"12/01/2005","4.6060","4.6590","4.6700","4.5724","","-1.07%"
"11/01/2005","4.6560","4.6430","4.7480","4.6292","","0.32%"
"10/01/2005","4.6410","4.6010","4.6598","4.5792","","0.97%"
"09/01/2005","4.5962","4.5333","4.6093","4.4672","","1.47%"
"08/01/2005","4.5296","4.5260","4.5719","4.4646","","0.19%"
"07/01/2005","4.5210","4.5800","4.6140","4.5120","","-1.24%"
"06/01/2005","4.5777","4.4088","4.5898","4.3958","","3.76%"
"05/01/2005","4.4120","4.3720","4.4187","4.3460","","0.94%"
"04/01/2005","4.3710","4.3620","4.3990","4.3540","","0.18%"
"03/01/2005","4.3630","4.3410","4.3830","4.2940","","0.45%"
"02/01/2005","4.3435","4.3835","4.4025","4.3400","","-0.96%"
"01/01/2005","4.3858","4.3307","4.4239","4.3307","","1.52%"
"12/01/2004","4.3200","4.3640","4.3790","4.3040","","-1.01%"
"11/01/2004","4.3640","4.4540","4.4606","4.3540","","-2.15%"
"10/01/2004","4.4600","4.4835","4.4865","4.4235","","-0.37%"
"09/01/2004","4.4765","4.5215","4.5289","4.4715","","-1.01%"
"08/01/2004","4.5220","4.5160","4.5569","4.5125","","0.16%"
"07/01/2004","4.5150","4.5010","4.5310","4.4650","","0.36%"
"06/01/2004","4.4990","4.5560","4.5602","4.4820","","-1.21%"
"05/01/2004","4.5540","4.5990","4.6390","4.5500","","-0.76%"
"04/01/2004","4.5890","4.5270","4.6220","4.5130","","1.37%"
"03/01/2004","4.5270","4.4880","4.5398","4.4700","","0.85%"
"02/01/2004","4.4890","4.4969","4.5020","4.4300","","0.11%"
"01/01/2004","4.4840","4.3950","4.5000","4.3650","","2.07%"
"12/01/2003","4.3930","4.4410","4.4484","4.3380","","-1.17%"
"11/01/2003","4.4450","4.4970","4.5450","4.4420","","-1.07%"
"10/01/2003","4.4930","4.4500","4.5170","4.4050","","1.10%"
"09/01/2003","4.4440","4.4550","4.5370","4.4260","","0.00%"
"08/01/2003","4.4440","4.4500","4.5000","4.4237","","-0.13%"
"07/01/2003","4.4500","4.3250","4.4700","4.2780","","2.89%"
"06/01/2003","4.3250","4.3850","4.4450","4.3100","","-1.59%"
"05/01/2003","4.3950","4.5520","4.5940","4.3600","","-3.43%"
"04/01/2003","4.5510","4.6940","4.6950","4.5170","","-3.12%"
"03/01/2003","4.6975","4.8330","4.8680","4.6700","","-2.50%"
"02/01/2003","4.8180","4.8230","4.9480","4.8060","","-0.12%"
"01/01/2003","4.8240","4.7670","4.9115","4.7560","","1.58%"
"12/01/2002","4.7488","4.6430","4.8040","4.6224","","2.17%"
"11/01/2002","4.6480","4.7780","4.7825","4.6320","","-2.72%"
"10/01/2002","4.7780","4.8850","4.8930","4.7200","","-2.13%"
"09/01/2002","4.8820","4.6742","4.9080","4.6727","","4.71%"
"08/01/2002","4.6626","4.6750","4.7400","4.6060","","-0.37%"
"07/01/2002","4.6800","4.7635","4.8120","4.6275","","-1.58%"
"06/01/2002","4.7550","4.9080","5.0100","4.7540","","-3.38%"
"05/01/2002","4.9215","4.8965","4.9965","4.8213","","0.54%"
"04/01/2002","4.8950","4.7800","4.9230","4.7121","","2.99%"
"03/01/2002","4.7530","4.6750","4.7640","4.6050","","1.68%"
"02/01/2002","4.6745","4.5895","4.7803","4.5645","","1.84%"
"01/01/2002","4.5900","4.4120","4.6435","4.4012","","4.03%"
"12/01/2001","4.4120","4.2498","4.4270","4.2135","","4.20%"
"11/01/2001","4.2340","4.2830","4.2850","4.2130","","-1.19%"
